Date,BTC Price,BTC Max,BTC Min,BTC Vol,ETH Price,ETH Max,ETH Min,ETH Vol,XRP Price,XRP Max,XRP Min,XRP Vol,LTC Price,LTC Max,LTC Min,LTC Vol
20160403,420.761345,424,418,53852.0652,6487.56504,11.6638772,11.6908309,11.3543172,2148.98747,0.00751859,0.00759526,0.00722194,52.8961885,3.272,3.30447481,3.23720606
20160404,422,424.5,419.9191,60986.7437,9071.9872,11.577241,11.7055,11.5223403,1001.89151,0.0075383,0.00757396,0.00734981,166.320447,3.2700385,3.2986342,3.24401021
20160405,423.739999,424.499,420.2,32267.3491,25816.9753,10.8339143,11.5772412,10.7,266.688005,0.0074,0.00759525,0.0074,72.1995429,3.28230925,3.28899925,3.19
20160406,423,425.887,420.25401,21656.206,17516.8019,10.33,11.0077079,10.1353544,379.398974,0.00722743,0.00747399,0.00722596,69.2413461,3.21632322,3.28929611,3.21627417
20160407,420.084999,425.938118,420.083,41874.6682,11046.8527,10.7516503,11.029654,10.2735644,112.322862,0.007109,0.0073924,0.0071,194.727172,3.23000026,3.26499904,3.21632572
20160408,424.549999,424.705001,420.083,14780.159,22411.3557,10.0495316,10.69,9.85,559.367148,0.00654085,0.00710008,0.00654085,529.819986,3.23000817,3.27789974,3.23000228
20160409,419.999989,426.7,414.908999,64594.7721,28028.1204,9.95,10.0820969,9.6101,561.195843,0.00624434,0.00686,0.00624434,121.044944,3.19309956,3.27789996,3.19309569
20160410,416.11,423,414.140001,54595.0477,53724.0883,8.86108155,10.020541,8.64,47.2262162,0.00600203,0.0063723,0.00600003,237.327441,3.18002555,3.25011301,3.18
20160411,419.620004,425,416,82899.0419,64370.8578,8.55,9.0188308,7.28025002,428.564279,0.00609849,0.00611115,0.0056804,709.106261,3.25309568,3.25309569,3.18000425
20160412,426.29,428.249494,419.620004,29223.0367,22033.042,7.98421176,8.74999999,7.95259275,44.7365764,0.00579586,0.00649307,0.00579435,477.143954,3.285,3.3,3.20312336
20160413,424,429.98,422.5,55412.0911,34215.6739,7.46938549,8.25,7.05010002,1770.93735,0.00557,0.00636633,0.00557,749.116067,3.25036085,3.3072141,3.20309569
20160414,424.57,428.999,423.24,36507.3876,25151.9867,8.76727437,8.76490171,7.35959517,45.0483571,0.00595462,0.00596479,0.00557001,261.755186,3.27328673,3.41,3.22456144
20160415,426.432,428.85,423.511,28928.6348,23182.8985,8.55,8.76788762,8.2,173.542128,0.0064,0.0064,0.00598029,217.093516,3.25,3.36,3.22811757
20160416,434,437.304886,426.431,27834.0906,15449.6602,8.18672127,8.67023516,8.18672127,10.328182,0.0065,0.00654383,0.00608887,99.6907858,3.326,3.326,3.24000005
20160417,431,436.679601,430.84,31310.2388,24954.544,8.90025914,9.39291919,8.18672127,59.4688782,0.00620671,0.006575,0.00618437,655.653015,3.31783024,3.419,3.21
20160418,428.819999,438.791187,426,77215.9034,26121.9863,9.21199999,9.78088042,8.85421215,154.459519,0.00706029,0.00706029,0.00620702,1269.9493,3.26480007,3.34,3.2
20160419,429.6,432.8,427.286218,29742.5851,29004.5236,9.2589588,9.45982817,8.51985759,64.8985036,0.00714001,0.00719516,0.00671114,236.609546,3.24381404,3.28761731,3.24000006
20160420,437.94751,442.754812,429.3289,40280.8532,47909.2457,8.73000008,9.31358639,8.550081,558.096203,0.00724832,0.00731866,0.00686886,1068.31379,3.31,3.35654285,3.24381404
20160421,441.999968,448.540542,437.51,42067.9523,12492.6082,8.71708444,9.35,8.37564026,425.163192,0.00775996,0.00775997,0.00687099,2607.20066,3.3069057,3.33999987,3.27178243
20160422,445.7,459.245,441.999968,82519.5685,37949.6857,8.25155904,8.82515306,8.05,72.5505733,0.00741,0.00775996,0.00693169,1449.1718,3.34760005,3.40543347,3.3017881
20160423,451.07817,455,445.7,47579.5818,20343.8968,8.03581849,8.35335998,7.80001,19.6986023,0.00742027,0.0074893,0.00725307,104.314092,3.38099999,3.38487151,3.32017285
20160424,454.28,460.458742,446.62111,26546.7527,17973.5553,8.2335,8.686,7.80001,64.1458546,0.00703723,0.00747282,0.00703723,3268.30187,3.485,3.47877481,3.33
20160425,461.612024,464.95,451,26110.9963,15898.0127,8.012,8.46807381,7.96019427,9.30989295,0.0073901,0.00746911,0.00722501,2514.1991,3.64206097,3.93199349,3.40000001
20160426,468.086587,474.068915,456.55,58375.7103,52413.877,7.2864041,8.149,7.18683104,79.728461,0.0070178,0.0074284,0.0070178,7926.15389,3.99594149,4.5,3.54090001
20160427,466,472.06646,463.223,51678.3988,23678.9794,7.477047,7.6,7.11809996,48.4877846,0.0068655,0.00723197,0.0068655,4654.67936,4.36733803,4.68052568,3.87
20160428,441,467.999999,421.91,121943.834,34210.3786,7.4,7.98754822,7.3,204.775383,0.00642399,0.00687167,0.00642399,12336.4342,3.7626456,4.28994985,3.69024003
20160429,446.0101,451.88,437.13,37111.089,27805.5962,7.58900053,7.67326427,7.2,1.90848449,0.00670357,0.00673542,0.00668349,8542.59824,3.76111065,3.8703126,3.3
20160430,455.543999,484.484,445,36506.1956,9545.66262,7.66613604,7.84,7.36824422,3.49687409,0.00685814,0.00685814,0.00674359,3125.53621,3.74480127,3.87899288,3.73161092
20160501,444.2,456.456,440.01,42454.5553,75028.8331,8.70099513,9.44464782,7.65998908,0.21898708,0.00688139,0.0068814,0.00658001,3975.86883,3.76987739,3.80183221,3.59198924
20160502,445.974901,455.2,443.564696,24697.3988,13055.6822,9.18488801,9.18488801,8.37336868,1350.17173,0.00658007,0.00688138,0.00658005,190.101208,3.73610502,3.78089614,3.66
20160503,446.892605,449.489999,425.9,75376.5749,76845.2683,9.71348501,10.2680416,9.18477999,137.001095,0.00668718,0.00668718,0.00647,1971.8847,3.69098821,3.73897232,3.56787563
20160504,450.849,450.9,442.95,16879.2837,13040.0864,9.58010922,9.88609052,9.25,34.4672537,0.0063375,0.00658715,0.0063948,1185.67807,3.76462228,3.7890733,3.66995199
20160505,449.89,450.1,444.213909,8198.3809,16814.9389,9.55844865,9.99899999,9.3500002,1021.92473,0.00625821,0.00638374,0.00610494,820.077529,3.7324924,3.79473925,3.7
20160506,449,451.89,444.479999,22888.5564,22778.4903,9.75,10.0456272,9.36,1540.54823,0.00629621,0.00629621,0.00610498,5600.53935,3.71020025,3.8,3.66000001
20160507,459.979999,463.047875,448.377261,38842.1161,23761.2151,9.42288576,9.929827,9.03,15.5323599,0.00652972,0.00652973,0.00629109,1128.46457,3.8797058,3.91546708,3.71020116
20160508,462.98,463,455.327999,18963.9095,20610.4695,8.97820689,9.5,8.97820689,25.0993754,0.00652037,0.0065297,0.0063338,1370.52706,3.97900679,4.01999807,3.88000463
20160509,460.809999,462.737586,455.41,8396.48681,10522.1659,9.67354794,9.69094982,8.97820689,5.61069117,0.00640585,0.00640585,0.00630298,1273.90552,3.92746862,3.9727937,3.89000267
20160510,460.53,465.070299,456.06,15173.3051,9284.57365,9.383542,9.61827935,9.205,13.0831842,0.00634586,0.0064,0.00631085,4405.35039,4.1277386,4.19653068,3.895
20160511,453.500004,460.609999,449.489999,25400.2453,16583.9055,9.55606905,9.5999,9.28297957,51.1442068,0.00617671,0.00634586,0.00616402,4268.46009,3.91,4.11910926,3.71000031
20160512,449,455.719006,448.259275,31405.5818,29963.0868,10.1,10.1,9.46105741,392.024805,0.00604286,0.00623109,0.00603598,2082.86153,3.80203789,3.9366959,3.80203789
20160513,450.862521,455.03,448.09,14305.8928,21855.5553,11,11,9.91495001,3554.10969,0.00615,0.0065,0.00610141,125.357375,3.86999999,3.88254386,3.78630675
