BPRICE,BMAX,BMIN,BVOL,EPRICE,EMAX,EMIN,EVOL,XPRICE,XMAX,XMIN,XCOL,LPRICE,LMAX,LMIN,LVOL
435,439.4,381,"75,624.00","19,669.40",6.5,6.6,6.3,0.8,0,0,0,639.7,3.4,3.5,3.3
437.4,441.3,428.2,"29,131.00","16,421.00",6.4,6.6,6.1,528,0,0,0,482.3,3.4,3.5,3.3
432.4,442.9,424.7,"53,073.30","69,948.10",7.4,7.9,5.2,"1,328.80",0,0,0,625.4,3.4,3.5,3.4
421.3,438,418.7,"47,565.80","25,649.30",9.3,9.7,7.4,720.7,0,0,0,892.3,3.3,3.5,3.3
422.8,437.5,408.1,"87,028.30","64,925.50",9.4,10,7.6,"2,525.00",0,0,0,"1,989.90",3.2,3.5,3.1
394,425,390,"87,850.90","37,256.90",10.4,10.5,8.7,479.2,0,0,0,"2,330.00",3.1,3.4,3
403.5,410,378.9,"147,969.80","160,035.50",11.8,12.3,9.9,347.5,0,0,0,"1,744.70",3.3,3.3,3
405,433,397,"80,952.30","77,802.10",10.2,11.8,9.8,"2,862.30",0,0,0,286.2,3.2,3.3,3.1
411.8,420,403.8,"74,666.00","77,528.00",9.5,10.5,8.5,"1,500.80",0,0,0,585,3.3,3.3,3.2
414.3,414.6,402.8,"47,327.20","34,523.70",11,11,9.1,152.8,0,0,0,525.1,3.2,3.3,3.1
413.2,415,401,"83,783.90","68,849.20",11.8,12.2,10,216.6,0,0,0,"1,178.40",3.2,3.3,3.2
420,421.1,408.8,"60,716.70","53,174.40",10.6,12,10.3,547,0,0,0,87.8,3.4,3.4,3.2
412.6,424.4,407.5,"82,243.10","106,201.70",13,13.8,10.5,106.8,0,0,0,668.9,3.2,3.4,3.2
415,418,406.6,"76,515.10","82,731.00",14.5,14.7,12.4,646.3,0,0,0,219.7,3.3,3.3,3.2
413.5,420,399,"134,925.70","162,820.70",13.3,15,11.4,17.2,0,0,0,"1,058.10",3.3,3.3,3.2
413.8,420,385,"102,087.40","102,815.70",12.7,15,11.9,"3,627.40",0,0,0,231.1,3.3,3.3,3.2
413.8,418.5,408.1,"40,375.50","20,113.50",13.3,13.5,12,454.8,0,0,0,22.1,3.2,3.3,3.2
417.4,420,410.9,"29,424.20","16,281.80",12,13.6,11.9,63.5,0,0,0,70.7,3.3,3.3,3.2
414.2,428.9,413.2,"90,303.20","91,671.10",10.5,12.2,10.2,290,0,0,0,285.7,3.3,3.3,3.2
407,418.2,395,"139,333.70","127,233.60",10.2,11,8.4,37.5,0,0,0,80.1,3.1,3.3,3.1
408.9,416.8,400,"67,888.70","26,777.10",10.3,11,9.9,585.2,0,0,0,95.6,3.2,3.2,3.1
406.3,415.7,405.2,"39,605.70","25,609.70",11,11,9.6,"2,999.10",0,0,0,550.1,3.1,3.3,3.1
413.1,414.5,402.9,"60,106.10","46,961.90",11.6,12,10.7,360.9,0,0,0,11.9,3.2,3.2,3.1
416.4,420.3,411.8,"49,217.10","28,145.40",11.8,12.1,10.9,499.2,0,0,0,529.8,3.2,3.2,3.1
415.9,423,415.8,"30,119.20","25,611.00",11.2,12.5,11.2,96.7,0,0,0,63.1,3.2,3.3,3.2
416.7,423.8,413.5,"49,024.40","24,702.50",10.7,11.7,10.6,75.3,0,0,0,306.8,3.2,3.3,3.2
419,420.6,414,"14,569.30","6,274.50",10.9,11.2,10.3,27.3,0,0,0,30.5,3.3,3.3,3.2
419,420.6,413.9,"15,783.00","9,764.20",10.9,11,10.6,26.5,0,0,0,33,3.2,3.3,3.2
426.6,429,415.8,"55,959.60","21,808.50",11.3,11.4,10,655,0,0,0,417.3,3.4,3.4,3.2
425.2,428.8,420,"51,183.60","35,036.40",11.6,11.9,10.9,"1,852.20",0,0,0,132.2,3.2,3.4,3.2
415,428.5,410,"132,508.10","50,500.00",11.9,12,11.4,353.5,0,0,0,904.3,3.2,3.3,3.2
418.3,419.4,410.1,"40,600.90","16,375.60",11.9,12.2,11.7,524.4,0,0,0,252.7,3.2,3.2,3.2
417,420.4,415.8,"22,663.60","6,682.20",11.6,12,11.3,461.5,0,0,0,"1,047.40",3.3,3.3,3.2
423.1,424,416,"32,642.90","3,097.40",11.4,11.9,11.4,29.3,0,0,0,298.8,3.2,3.3,3.2
420.8,424,418,"53,852.10","6,487.60",11.7,11.7,11.4,"2,149.00",0,0,0,52.9,3.3,3.3,3.2
422,424.5,419.9,"60,986.70","9,072.00",11.6,11.7,11.5,"1,001.90",0,0,0,166.3,3.3,3.3,3.2
423.7,424.5,420.2,"32,267.30","25,817.00",10.8,11.6,10.7,266.7,0,0,0,72.2,3.3,3.3,3.2
